U,R_cu,R_sc,T,σ_cu,σ_sc
0.4,0.1831,0.2772,304.4842105263158,1.901649583639049e10,1.2561040359462837e10
0.6,0.1859,0.2572,309.11578947368423,1.8730072015293697e10,1.3537793109032267e10
0.7,0.1879,0.2439,311.4315789473684,1.8530709886339e10,1.4276016349500198e10
0.8,0.1894,0.2305,313.7473684210526,1.838395136031203e10,1.5105945282616478e10
0.9,0.191,0.2153,316.06315789473683,1.8229949673524075e10,1.6172412390353455e10
1.0,0.1923,0.2037,318.37894736842105,1.810671028415548e10,1.7093374509784481e10
1.13,0.1944,0.1845,321.38947368421054,1.7911113105159973e10,1.8872197222997826e10
1.21,0.1958,0.174,323.2421052631579,1.778304590216087e10,2.001103671059252e10
1.3,0.1972,0.1632,325.3263157894737,1.765679709758164e10,2.1335296492911144e10
1.44,0.1998,0.144,328.5684210526316,1.742702896718268e10,2.4180002691965965e10
1.7,0.2038,0.1167,334.58947368421053,1.7084987181762012e10,2.9836507177747204e10
1.91,0.2069,0.0984,339.4526315789474,1.6829001390251806e10,3.538536979312092e10
2.0,0.2088,0.0901,341.53684210526313,1.6675863925493767e10,3.864506534565037e10
2.1,0.2103,0.0837,343.85263157894735,1.655692053087541e10,4.1600004631339294e10
2.22,0.212,0.0763,346.63157894736844,1.642415277190141e10,4.563460534263563e10
2.4,0.215,0.0661,350.8,1.6194978547177204e10,5.2676556545281364e10
2.5,0.2168,0.0607,353.11578947368423,1.6060518393187725e10,5.7362774096261925e10
2.7,0.2203,0.0521,357.74736842105267,1.580535809188878e10,6.683148536742992e10
2.9,0.2232,0.045,362.37894736842105,1.5600001736752234e10,7.737600861429108e10
3.1,0.2263,0.0392,367.0105263157895,1.5386303082824121e10,8.882449968477293e10
3.35,0.2303,0.0329,372.8,1.5119063776131561e10,1.0583344643292093e11
3.7,0.2356,0.0262,380.90526315789475,1.4778949013765274e10,1.3289772471920222e11
4.11,0.2423,0.0203,390.4,1.4370286370792812e10,1.7152317180507877e11
4.28,0.2445,0.0184,394.33684210526314,1.424098318054437e10,1.8923480367625534e11
4.52,0.2482,0.016,399.89473684210526,1.4028688104927876e10,2.1762002422769366e11
4.85,0.2529,0.0133,407.53684210526313,1.3767973063041117e10,2.6179852538669916e11
5.05,0.2562,0.012,412.1684210526316,1.3590633831549955e10,2.9016003230359155e11
