ϕ,U,λ,I
1600.0 ± 10.0,4.0 ± 2.0,459.1 ± 1.3,0.355 ± 0.041
1700.0 ± 10.0,7.0 ± 2.0,471.6 ± 1.2,0.409 ± 0.041
1800.0 ± 10.0,12.0 ± 2.0,483.5 ± 1.2,0.375 ± 0.033
1900.0 ± 10.0,23.0 ± 2.0,495.4 ± 1.2,0.359 ± 0.024
1925.0 ± 10.0,34.0 ± 2.0,498.4 ± 1.2,0.423 ± 0.025
1940.0 ± 10.0,39.0 ± 2.0,500.2 ± 1.2,0.44 ± 0.024
1950.0 ± 10.0,45.0 ± 2.0,501.4 ± 1.2,0.471 ± 0.024
1960.0 ± 10.0,51.0 ± 2.0,502.6 ± 1.2,0.5 ± 0.025
1970.0 ± 10.0,62.0 ± 2.0,503.9 ± 1.2,0.563 ± 0.026
1975.0 ± 10.0,67.0 ± 2.0,504.5 ± 1.2,0.589 ± 0.027
2000.0 ± 10.0,76.0 ± 2.0,507.6 ± 1.2,0.596 ± 0.026
2050.0 ± 10.0,88.0 ± 2.0,513.9 ± 1.3,0.565 ± 0.023
2060.0 ± 10.0,85.0 ± 2.0,515.2 ± 1.3,0.53 ± 0.021
2075.0 ± 10.0,80.0 ± 2.0,517.1 ± 1.3,0.478 ± 0.019
2100.0 ± 10.0,84.0 ± 2.0,520.4 ± 1.3,0.46 ± 0.018
2150.0 ± 10.0,82.0 ± 2.0,527.3 ± 1.4,0.385 ± 0.014
2200.0 ± 10.0,86.0 ± 2.0,534.4 ± 1.5,0.347 ± 0.012
2250.0 ± 10.0,93.0 ± 2.0,542.0 ± 1.6,0.324 ± 0.01
2300.0 ± 10.0,98.0 ± 2.0,550.0 ± 1.6,0.2992 ± 0.0091
2400.0 ± 10.0,105.0 ± 2.0,567.4 ± 1.9,0.2527 ± 0.0069
2600.0 ± 10.0,124.0 ± 2.0,609.8 ± 2.4,0.2 ± 0.0045
2700.0 ± 10.0,120.0 ± 2.0,635.5 ± 2.7,0.1653 ± 0.0035
2800.0 ± 10.0,123.0 ± 2.0,664.8 ± 3.1,0.1462 ± 0.0029
2900.0 ± 10.0,125.0 ± 2.0,698.0 ± 3.5,0.1302 ± 0.0025
3000.0 ± 10.0,130.0 ± 2.0,735.7 ± 4.0,0.1198 ± 0.0021
3100.0 ± 10.0,128.0 ± 2.0,778.1 ± 4.5,0.1061 ± 0.0019
3150.0 ± 10.0,118.0 ± 2.0,801.2 ± 4.8,0.0937 ± 0.0017
3200.0 ± 10.0,108.0 ± 2.0,825.7 ± 5.0,0.0826 ± 0.0016
3250.0 ± 10.0,87.0 ± 2.0,851.6 ± 5.3,0.0652 ± 0.0014
3300.0 ± 10.0,67.0 ± 2.0,878.9 ± 5.6,0.05 ± 0.0013
3350.0 ± 10.0,46.0 ± 2.0,907.8 ± 5.9,0.0355 ± 0.0012
3400.0 ± 10.0,35.0 ± 2.0,938.2 ± 6.2,0.0278 ± 0.0012
